age,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score
36,1.74,16,5.28,9.24,2.19,102,152,3.63
33,4.33,60,8.61,7.6,5.83,68,265,4.65
20,3.87,17,4.09,7.46,5.4,34,90,7.07
37,9.63,114,4.64,1,10,25,233,10
41,2.06,16,4.33,8.03,4.06,9,47,5.62
50,9.01,55,5.88,5.12,10,73,44,10
41,5.11,47,7.24,6.01,7.33,51,273,7.74
28,1.43,15,8.55,8.97,1,2,46,1.25
25,7.56,85,7.97,4.56,7.76,76,256,8.1
53,1.91,24,5.25,8.29,2.26,85,27,2.03
55,3.13,64,7.17,8.05,5.02,20,251,4.21
57,8.2,26,7.32,5.68,10,33,33,10
37,2.39,13,4.45,8.59,2.9,53,277,4.17
52,3.93,91,6.14,4.23,8.93,116,267,10
42,4.25,110,5.56,4.35,9.05,25,214,7.98
52,6.3,99,4.79,5.75,10,9,276,8.49
42,8.11,115,4.29,3.01,10,107,45,10
46,3.08,116,4.14,7.2,3.93,19,236,3.06
35,2.85,106,8.29,6.27,5.98,54,285,5.74
35,3,49,5.65,7.11,5.29,80,78,5.34
19,4.43,95,6.47,4.55,8.43,87,235,8.53
52,5.82,28,5.46,6.49,7.62,96,268,7.08
33,1.12,80,4.83,6.12,6.37,106,141,7.22
58,8.02,27,5.31,4.46,10,79,128,10
53,9.34,104,4.85,3.11,10,46,148,10
50,8.59,20,7.79,5.94,9.31,100,85,9.32
21,1.33,23,8.54,9.18,1,48,162,1.94
50,5.72,45,6.17,6.29,6.75,97,288,7.48
31,8.33,59,8.11,5.6,10,106,173,10
38,4.1,98,6.13,5.67,6.99,61,107,6.41
37,9.07,19,6.23,5.41,10,7,136,10
25,8.98,51,6.43,3.59,10,14,20,10
24,2.28,21,8.1,8.33,2.9,12,24,2.26
20,5.44,67,8.68,5.34,9.57,24,188,10
34,1.23,15,7.72,9.26,2.13,44,72,1.69
50,3.54,20,8.44,8.31,2.89,48,166,2.21
29,8.31,43,7.21,5.71,10,41,76,9.76
39,9.78,61,8.2,3.54,10,27,285,10
39,9.22,20,6.78,5.64,10,60,240,9.83
47,1.38,103,7.86,7.8,3.26,38,115,3.93
55,9.34,104,7.53,3.16,10,115,224,8.26
55,8.4,10,7.75,5.32,8.87,99,281,8.11
25,8.81,119,5.17,4.32,10,37,55,9.97
44,9.23,59,4.77,4.63,10,9,134,10
44,5.39,36,7.27,6.26,5.74,79,79,5.32
51,2.9,43,6.41,9.23,2.37,51,208,2.75
38,1.19,21,7.82,7.19,3.52,76,30,5.07
47,1.21,83,4.73,7.25,6.33,93,143,5.6
50,6.78,65,8.74,4.64,8.34,58,34,9.63
45,4.04,42,7.52,6.12,6.3,12,228,5.98
50,5.46,74,4.11,5.54,7.5,24,241,8.98
22,2.18,20,6.88,10,1,104,297,1.75
36,9.78,32,5.56,3.49,10,54,226,9.34
21,2.17,112,5.37,7.39,5.84,16,278,6.37
52,5,16,8.51,7.45,5.15,5,104,3.78
34,4.99,35,8.18,8.19,6.16,20,198,5.08
45,1.08,13,4.05,9.79,1.58,20,198,1.05
47,7.01,36,4.91,6.73,8.3,27,129,8.44
46,5.84,30,7.6,8.39,5.39,75,156,4.26
23,5.48,3,8.24,6.5,8.3,71,147,6.25
52,8.36,5,7.59,5.64,10,100,200,9.58
58,3.17,49,6.63,6.92,5.68,82,169,5.27
54,8.75,84,8.92,2.26,10,110,183,8.45
41,8.78,76,7.99,2.76,10,62,202,9.56
46,8.44,37,6.34,5.13,10,81,116,10
48,4.07,78,6.92,5.63,7.26,19,195,6.32
52,2.46,4,4.22,7.94,3.15,75,104,3.18
50,5.28,37,8.82,7.87,6.57,4,264,6.24
38,3.34,23,5.81,8.28,5,22,41,4.43
49,1.47,17,7.31,10,1,106,77,1
40,3.52,92,7.33,7.23,5.6,83,86,6.69
50,5.22,31,4.28,7.17,7.19,8,204,7.59
20,2.01,70,5.33,9.04,1.18,86,279,1
35,9.5,93,7.28,3.64,10,101,131,10
42,6.9,101,8.56,5.24,9.11,8,255,9.7
59,2.23,89,7.89,6.91,4.89,103,160,4.03
48,8.31,71,6.9,4.67,10,51,248,10
20,9.35,88,5.16,3.43,10,28,143,9.46
57,3.37,29,8.74,8.13,4.78,36,181,3.75
41,2.29,87,6.02,6.08,5.75,29,68,5.73
49,3.9,29,4.75,7.25,5.05,76,63,4.99
39,8.49,4,4.11,6.41,8.59,90,283,8.71
40,2.58,3,8.75,7.43,5.56,16,294,5.18
19,8.01,50,7.89,5.66,9.07,49,261,9.7
44,7.45,105,5.08,5.52,8.62,3,28,7.28
59,6.86,8,4.71,7.87,5.16,66,78,4.74
19,4.9,54,8.8,5.38,8.64,108,257,8.76
43,4.3,32,5.2,6.79,5.86,45,191,5.3
34,1.77,114,6.31,7.94,3.41,107,130,4.03
57,4.22,92,7.05,5.77,7.72,18,256,8.55
50,6.42,30,4.31,5.58,8.64,0,93,8.98
26,9.08,107,5.72,3.64,10,71,80,9.02
56,8.5,82,8.72,3.98,10,65,276,8.64
46,1.29,108,7.5,8,1.26,51,273,1.15
59,2.25,53,5.84,7.22,5.87,119,48,5.76
43,8.64,110,7.96,3.5,10,98,50,10
52,9.45,60,8.19,4.28,10,2,254,9.65
42,1.5,65,4.76,7.87,4.1,80,109,4.26
41,7.31,19,6.93,5.13,8.02,43,143,7.88
30,4.29,75,5.83,5.23,8.98,114,264,8
24,4.28,113,6.53,6.41,5.8,102,261,5.69
53,6.78,84,6.35,4.74,10,30,259,10
37,8.29,60,6.52,4.92,10,9,242,9.2
18,3.47,94,6.61,5.4,4.81,73,164,5.32
25,7.35,35,4.35,6.57,7.24,81,259,8.41
33,6.72,83,4.89,5.2,9.15,53,135,8.72
31,5.66,107,6.83,4.9,8.94,102,144,8.85
29,6.42,19,8.68,8.1,5.95,51,299,5.73
40,1.16,44,7.73,8,3.07,57,77,5.43
32,1.04,99,5.19,8.23,1,68,38,1.21
45,5.95,45,5.81,6.54,7.74,69,260,7.59
51,5.72,116,5.68,4.59,7.84,57,140,7.92
19,1.64,17,7.85,8.8,3.34,30,65,4.31
49,5.43,69,8.86,6.27,5.76,35,70,5.62
40,7.82,96,5.78,4.96,10,13,117,10
39,5.87,73,4.07,5.76,7.65,96,22,6.61
42,5.66,17,8.68,7.01,6.06,92,82,3.8
39,7.46,114,7.77,4.65,10,82,164,8.69
39,2.55,63,8.17,5.4,6.8,73,230,7.8
59,5.12,33,5.04,6.43,8.05,86,265,7.71
23,2.33,78,7.23,7.65,3.91,40,269,3.33
32,5.71,2,5.16,4.65,9.45,7,82,9.99
54,6.33,71,4.06,5.77,9.15,87,96,9.83
50,2.1,114,4.79,9.02,2.17,69,28,3.24
25,1.68,10,8.61,9.74,3.09,100,177,3.13
22,2.5,45,5.08,7.2,3.29,90,43,3.94
56,6.28,95,6.93,7.5,6.53,31,203,5.8
21,2.71,111,8.84,5.36,7.74,42,226,8.85
23,3.48,41,4.38,7.02,3.55,29,202,4.32
49,7.32,16,8.04,7.39,7.01,46,69,7.48
47,3.24,46,6.99,7.63,2.53,2,179,3.08
52,4.58,29,5.62,8,4.66,9,154,6.45
57,9.36,42,5.82,5.64,10,81,280,10
33,8.42,7,4.14,6.49,8.04,76,146,8.89
30,3.3,39,5.28,6.36,5.8,16,156,7.73
59,6.38,70,6.12,4.89,8.34,79,280,7.89
47,6.99,19,7.58,5.96,9.12,84,190,7.98
36,9.1,75,5.37,4.71,10,75,167,10
34,5.93,84,6.9,5.62,8.88,79,265,8.64
36,6.05,27,7.66,5.53,8.4,59,261,8.06
45,9,27,7.49,4.5,10,13,155,9.27
43,1.49,58,6.95,9.11,1,9,243,1.83
54,6.65,61,6.9,3.4,10,16,95,9.57
43,4.75,79,7.61,6.21,5.44,18,109,6.17
40,9.19,111,5.68,4.49,10,8,207,10
26,9.64,73,6.25,5.1,10,63,295,10
29,2.53,53,8.83,6,4.18,45,224,4.44
18,3.53,85,7.34,6.05,5.78,58,245,6.05
18,3.46,6,6.6,9.89,2.88,69,291,3.43
51,1.91,67,6.89,6.42,5.88,119,168,6.82
49,5.35,23,4.52,7.38,6.42,47,143,5.94
42,5.62,97,6.96,6.52,6.06,81,266,6.44
57,6.16,40,8.18,6.96,8.34,96,105,7.62
18,6.97,110,6.62,5.2,9.31,4,242,8.14
33,1.57,53,4.88,8.33,4.03,117,104,2.41
56,6.6,13,6.24,6.67,8.19,62,222,6.32
22,9.22,43,5.39,3.71,10,27,296,9.29
39,5.09,48,5.8,6.76,6.6,42,191,4.13
46,1.96,62,5.13,9.11,2.62,7,100,3.25
20,1.77,80,5.67,6.2,6.27,33,145,5.44
29,3.54,44,8.11,7.15,4.64,108,219,5
43,7.77,71,7.79,4.14,10,79,89,10
33,3.35,105,6.45,7.66,4.51,40,176,4.92
54,8.33,76,7.91,4.04,10,77,140,9.15
39,8.38,6,8.88,8.05,8.77,51,271,8.71
46,5.11,2,6.03,9.03,3.82,16,153,5.43
31,3.71,87,8.9,5.72,8.05,112,25,8.04
45,6.38,46,5.23,4.91,9.97,4,174,9.51
22,8.29,87,8.77,5.72,10,28,34,9.51
47,1.58,60,8.32,8.01,4.28,18,107,4.46
22,9.58,70,5,2.9,10,118,219,10
29,6.81,29,5.75,4.94,10,25,245,9.61
33,4.58,4,7.54,8.83,5.72,92,86,5.65
43,5.55,103,4.96,5.75,8.39,74,136,10
43,4.47,84,6.95,5.28,3.99,43,133,3.93
38,4.71,112,6.67,5.79,6.8,24,28,5.55
56,6.36,71,5.46,5.58,9.6,92,294,9.82
53,1.54,6,5.5,9.98,1,17,42,1
50,2.58,38,6.58,7.21,3.47,92,57,4.05
47,3.04,1,5.5,7.73,3.46,38,259,4.73
54,4.67,42,4.9,6.46,7.31,116,34,4.58
40,4.34,11,7.87,8.06,3.69,103,134,3.16
27,7.5,27,6.91,4.53,10,40,197,9.38
22,3.33,107,6.19,7.36,4.57,105,93,4.22
53,1.51,18,4.91,8.56,3.43,29,32,4.66
51,1.5,27,6.97,9.86,1.81,85,88,2.03
48,1.1,98,7.14,6.69,4.28,57,192,3.5
27,1.34,75,6.4,7.87,2.46,95,175,1
36,8.73,91,5.86,3.59,10,34,241,9.81
49,7.28,89,8.34,7.14,6.76,50,220,8.54
18,9.96,101,7.52,3.41,10,100,158,8.86
22,1.18,69,5.78,7.18,4.75,92,56,4.82
21,8.64,18,6.97,3.52,10,110,70,10
33,7.26,63,5.17,5.68,7.68,53,148,7.72
41,6.76,90,4.06,4.39,9.84,46,292,8.86
33,4.21,116,8.34,4.91,7.83,44,299,7.35
19,4.39,8,8.09,8.33,4.09,103,184,6.07
45,8.61,118,7.2,3.57,10,104,55,7.34
49,7.42,40,8.06,5.81,8.54,85,176,6.37
44,7.03,49,7.9,5.74,10,110,231,10
37,1.28,9,8.3,8.98,3.18,52,70,3.75
41,2.66,73,8.46,8.67,1.47,66,207,1.85
29,9.66,96,8.09,1.66,10,109,129,9.3
52,5.09,81,8.26,4.4,6.12,76,91,6.71
50,8.03,53,6.51,4.52,10,65,266,8.78
50,4.5,9,7.54,7.93,5.24,63,67,5.92
54,7.88,6,5.67,6.58,8.39,43,169,8.43
29,2.07,103,8.31,5.74,4.24,113,44,4.56
20,1.38,31,8.29,9.97,1.58,47,100,3.5
18,5.2,106,4.33,7.78,4.11,72,292,3.2
50,6.32,53,5.74,6.3,9.34,38,234,10
57,3.91,69,4.86,6.38,6.52,64,299,6.7
27,7.44,82,4.68,5.91,9.5,36,290,10
46,5.46,62,6.07,7.4,5.78,16,272,5.86
30,9.35,104,7.13,3.26,10,10,21,9.36
29,1.76,106,5.72,6.92,2.34,10,248,2.37
48,1.6,33,5.55,8.61,2.33,53,285,1
19,9.15,42,4.47,5.61,8.94,65,160,8.76
52,7.02,4,5.91,7.44,7.75,7,210,9.25
40,7.04,18,6.35,5.96,7.82,13,288,7.94
34,1.25,112,5.99,8.37,2.58,45,231,1.68
43,9.44,113,7.4,2.85,10,106,259,10
25,7.95,53,5.44,7.2,8.6,67,20,8.47
46,7.88,13,7.58,4.85,10,15,194,9.51
43,9.21,9,8.41,5.94,9.66,70,126,9.81
27,6.2,48,6.96,5.87,8.4,32,268,9.19
43,4.55,10,5.94,7.35,4.68,88,37,5.7
51,5.33,30,4.9,6.55,9.32,5,275,10
58,8,65,8.66,4.27,10,51,237,8.11
24,7.92,9,7.76,5.08,10,7,291,10
21,6.49,20,5.23,5.41,6.53,118,206,8.06
28,2.96,0,4.75,8.4,4.14,29,62,3.14
46,8.37,45,4.25,5.14,8.6,6,80,9.14
53,6.83,94,4.95,4.49,9.66,113,255,8.47
42,2.99,74,7.66,5.13,6.4,18,27,5.54
38,5.33,106,7.15,5.6,9.81,62,111,9.5
53,9.97,73,8.84,3.64,10,2,195,9.92
27,3.96,19,5.61,8.66,2.86,73,140,2.94
54,2.05,20,7.93,8.52,1.63,30,38,1
26,1.2,36,4.6,9.13,2.03,46,232,2.08
41,2.66,100,6.81,8.19,4.52,12,121,4.65
52,2.68,13,6.33,10,1.69,94,34,2.19
52,8.72,57,8.19,4.67,10,42,50,10
53,2.41,56,7.51,6.61,5.03,72,118,7.16
35,8.76,56,4.97,6.11,10,18,219,9.69
56,1.78,68,8.92,4.57,7.12,26,223,7.74
49,9.16,69,8.12,3.23,10,33,134,8.54
41,3.31,23,5.77,7.16,4.34,99,241,4.7
40,6.5,79,8.13,6.18,9.01,18,189,8.92
49,2.44,59,8.78,7.64,4.66,17,101,3.26
54,4.51,22,8.45,6.25,8,64,256,8.93
29,1.77,46,6.78,10,2.1,92,50,1.25
30,6.22,37,6.89,5.9,8.68,114,130,8
40,4.11,115,4.53,4.89,8.08,47,291,8.27
42,8.67,79,4.82,3.12,10,11,255,10
52,2.64,114,8.91,5.56,6.59,103,79,5.11
58,3.52,51,7.85,7.43,4.42,69,90,5.09
47,2.6,12,4.13,7.99,2.17,106,162,1.48
34,6.07,114,6.74,4.55,10,18,140,10
37,2.01,108,5.73,7.32,3.09,25,139,2.63
42,2.7,7,5.56,8.3,2.69,37,94,2.01
39,7.11,101,6.78,5.05,9.85,24,221,10
30,1.67,31,5.6,8.35,2.96,80,141,4.04
